SubId,HyLakeId,HRU_IsLake,Soil_ID,Veg_ID,O_ID_1,O_ID_2,Landuse_ID,HRU_Area,HRU_ID,LAND_USE_C,VEG_C,SOIL_PROF,HRU_CenX,HRU_CenY,DowSubId,RivSlope,RivLength,BasSlope,BasAspect,BasArea,BkfWidth,BkfDepth,Lake_Cat,LakeVol,LakeDepth,LakeArea,Laketype,Has_Gauge,MeanElev,FloodP_n,Q_Mean,Ch_n,DrainArea,Strahler,Seg_ID,Seg_order,Max_DEM,Min_DEM,DA_Obs,DA_error,Obs_NM,SRC_obs,centroid_x,centroid_y,HRU_S_mean,HRU_A_mean,HRU_E_mean
481,,-1,1,1,1,1,1,5024574,217,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.58372078,45.98898308,482,0.001246973,0,7.387307116,210.550256,5194105.277,33.06825882,0.673924218,1,0.66,3.9,170000,1,0,371.632729,0.100000001,21.09393791,0.026585235,388081220.9,2,126,2,319.2468262,317.6793213,0,0,,,1425730.812,12173509.33,7.387,210.55,371.633
537,,-1,1,1,1,1,1,28375331,218,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.0579501,45.90424924,691,0.010093139,6304.382533,4.237478814,153.1321796,28375330.75,9.858622959,0.32602734,0,0,0,0,0,0,328.6846991,0.115882356,1.874854295,0.072044708,31929867.22,1,41,1,291.2837219,227.65271,0,0,,,1467073.664,12167736.53,4.237,153.132,328.685
85,,-1,1,1,1,1,1,1217792,219,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.978347,45.732885,80,0.001034336,0,7.152649724,208.9770701,1371908.871,2.145405741,0.130577975,2,0.77,5,150000,1,0,489.211928,0.109273673,0.08878792,0.026646822,1371908.871,2,64,2,439.8335571,409.8792725,0,0,,,1397588.783,12142664.47,7.153,208.977,489.212
649,,-1,1,1,1,1,1,3022879,220,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-77.94351946,45.97780156,650,0.004485996,0,4.372952316,188.5455949,3134279.998,3.201615528,0.166029696,2,0.45,4.1,110000,1,0,306.6411881,0.10526316,0.197730362,0.048352011,3134279.998,1,48,1,250.9169159,212.3803101,0,0,,,1475132.545,12176681.65,4.373,188.546,306.641
792,1033712,1,-1,-1,-1,-1,-1,255894,221,LAKE,LAKE,LAKE,-77.66191496,45.87731995,793,0.00892346,0,7.966131424,156.0013887,1616043.146,2.906217701,0.156661093,2,1.55,6.1,260000,1,0,248.9597684,0.106024098,0.162926337,0.067209372,2566689.372,1,58,1,189.9646301,164.6815033,0,0,,,1497980.112,12167324.06,7.966,156.001,248.96
744,1031604,1,-1,-1,-1,-1,-1,205238,222,LAKE,LAKE,LAKE,-77.70668334,46.06851705,743,0.002387915,0,4.351596357,183.7028078,7235060.832,4.801814915,0.211742246,2,0.84,4.1,200000,1,0,254.1189066,0.106302523,0.444780603,0.035569645,7235060.832,1,54,1,219.0121155,187.1872711,0,0,,,1493078.986,12188708.26,4.352,183.703,254.119
482,,-1,1,1,1,1,1,14077167,223,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.5473335,45.9953427,528,0.00334326,5998.643489,5.944669034,200.4523319,14077166.73,33.69738978,0.681588137,0,0,0,0,0,0,378.5061354,0.100000001,21.90420676,0.043556075,403473235.6,2,126,3,327.0472107,306.9921875,0,0,,,1428448.223,12174464.88,5.945,200.452,378.506
375,1033084,1,-1,-1,-1,-1,-1,339151,224,LAKE,LAKE,LAKE,-78.4510701,45.93644104,377,0.001747388,0,4.202377289,194.5443692,1414878.582,4.043499569,0.190993553,2,1.45,4.3,340000,1,0,429.4874313,0.112962966,0.315391373,0.029692301,5074383.326,1,28,1,352.1103516,348.6843567,0,0,,,1436139.467,12168551.36,4.202,194.544,429.487
587,,-1,1,1,1,1,1,5904703,225,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.20731388,46.0217407,585,0.005986447,0,5.842216378,217.5756401,6092957.335,4.41826515,0.201425909,2,0.68,3.6,190000,1,0,361.9376021,0.105555558,0.376563791,0.054810454,6092957.335,1,45,1,275.8024902,274.1257935,0,0,,,1454390.994,12179635.04,5.842,217.576,361.938
657,1034246,1,-1,-1,-1,-1,-1,133373,226,LAKE,LAKE,LAKE,-77.7647797,45.82527643,656,0.002298881,0,6.833527634,237.9885024,1726045.485,2.39790153,0.139592818,2,0.58,4.3,130000,1,0,302.0132426,0.100000001,0.110916893,0.03483336,1726045.485,1,49,2,250.0592957,229.7917328,0,0,,,1490822.777,12161814.19,6.834,237.989,302.013
