True Cost 	Penalty 	Adjusted Cost
-8.388424E-01	0.000000E+00	-8.388424E-01
-8.792315E-01	0.000000E+00	-8.792315E-01
-1.473200E+00	0.000000E+00	-1.473200E+00
-1.415665E+00	0.000000E+00	-1.415665E+00
-1.449266E+00	0.000000E+00	-1.449266E+00
-1.277594E+00	0.000000E+00	-1.277594E+00
-6.611582E-01	0.000000E+00	-6.611582E-01
-1.488848E+00	0.000000E+00	-1.488848E+00
-1.467903E+00	0.000000E+00	-1.467903E+00
-1.510857E+00	0.000000E+00	-1.510857E+00
-1.450595E+00	0.000000E+00	-1.450595E+00
-1.385750E+00	0.000000E+00	-1.385750E+00
-1.486861E+00	0.000000E+00	-1.486861E+00
-1.330502E+00	0.000000E+00	-1.330502E+00
-1.444161E+00	0.000000E+00	-1.444161E+00
-1.357056E+00	0.000000E+00	-1.357056E+00
-1.471731E+00	0.000000E+00	-1.471731E+00
-1.513797E+00	0.000000E+00	-1.513797E+00
-1.386763E+00	0.000000E+00	-1.386763E+00
-1.422600E+00	0.000000E+00	-1.422600E+00
-1.511665E+00	0.000000E+00	-1.511665E+00
-1.354756E+00	0.000000E+00	-1.354756E+00
-1.506841E+00	0.000000E+00	-1.506841E+00
-1.432182E+00	0.000000E+00	-1.432182E+00
-1.278503E+00	0.000000E+00	-1.278503E+00
-1.486808E+00	0.000000E+00	-1.486808E+00
-1.038717E+00	0.000000E+00	-1.038717E+00
-4.441731E-01	0.000000E+00	-4.441731E-01
-8.646247E-01	0.000000E+00	-8.646247E-01
-7.541495E-01	0.000000E+00	-7.541495E-01
-1.419137E+00	0.000000E+00	-1.419137E+00
-1.019963E+00	0.000000E+00	-1.019963E+00
-1.468569E+00	0.000000E+00	-1.468569E+00
