Run   obj.function   %D_FF%        %D_AT%        %MLT_F_Add%   %MIN_MLT_F%   %Rfrez_F%     %WFPS%        %HydCond_FF%  %FC_FF%       %FC_AT%       %FC_BT%       %MAX_BASEFLOW_RATE_FF%  %MAX_BASEFLOW_RATE_AT%  %MAX_BASEFLOW_RATE_BT%  %BASEFLOW_N_FF%  %BASEFLOW_N_AT%  %BASEFLOW_N_BT%  %Rain_Snow_T%  %Rain_Snow_Delta%  %MAX_PERC_RATE_FF%  %MAX_PERC_RATE_AT%  %MAX_CAP_RISE_RATE%  %MAX_CAPACITY%  %MAX_SNOW_CAPACITY%  %RAIN_ICEPT_PCT%  %SNOW_ICEPT_PCT%  %LAKE_PET_CORR%  %PET_CORRECTION%  n_multi       w_a0          w_n0          w_Cedar       w_Big_Trout   w_Grand       w_Lavieille   w_Misty       w_Animoosh    w_Traverse    w_Burntroot   w_La_Muir     w_Narrowbag   w_Little_Cauchon  w_Hogan       w_North_Depot  w_Radiant     w_Loontail    
31    -1.067781E+00  3.969539E-02  5.357651E-01  3.984858E+00  2.876927E+00  1.335553E+00  1.063198E+01  3.931462E+02  2.603947E-01  5.461902E-01  6.577559E-01  4.010421E+02  7.741355E+02  7.170096E+02  8.008910E-01  1.772546E+00  4.088203E+00  5.583718E-01  3.435003E+00  5.713908E+02  1.145665E+02  8.096626E+02  4.680227E-01  1.447092E+00  7.174265E-02  1.492866E-02  1.339934E+00  7.455549E-01  4.036271E+00  5.988583E-01  5.348076E-01  7.317663E+01  4.290878E+01  3.406310E+01  9.643975E+01  1.839766E+01  4.179812E+01  3.786081E+01  2.090266E+01  2.135914E+01  5.180004E+01  4.113389E+01  4.508534E+01  8.888123E+01  9.069579E+01  3.706631E+01  
32    -9.473777E-01  3.969539E-02  5.357651E-01  4.312054E+00  2.664746E+00  1.867616E+00  1.063198E+01  3.931462E+02  2.603947E-01  5.461902E-01  6.577559E-01  2.016497E+02  8.435191E+02  7.170096E+02  8.008910E-01  1.772546E+00  3.879721E+00  1.109686E-01  3.435003E+00  5.713908E+02  2.514474E+02  7.039139E+02  1.660690E+00  1.347873E+00  7.174265E-02  9.369765E-02  8.841527E-01  7.455549E-01  1.317504E+00  7.201417E-01  3.488335E-01  8.170519E+01  4.290878E+01  2.955828E+00  9.471427E+01  1.839766E+01  4.081425E+00  5.171551E+01  2.090266E+01  1.001361E+01  5.180004E+01  3.927836E+01  3.762473E+01  9.816757E+01  9.069579E+01  3.210622E+01  
33    -9.598871E-01  2.810394E-02  4.460504E-01  5.026632E+00  2.759383E+00  2.194927E+00  1.063198E+01  5.514331E+02  2.603947E-01  3.848096E-01  6.577559E-01  4.010421E+02  4.685404E+02  7.860698E+02  8.008910E-01  1.772546E+00  2.959511E+00  5.583718E-01  3.686852E+00  3.019108E+01  2.721365E+01  8.096626E+02  4.954255E-01  1.447092E+00  7.174265E-02  9.130467E-02  9.118948E-01  9.078357E-01  4.036271E+00  5.988583E-01  5.348076E-01  7.317663E+01  4.290878E+01  2.768823E+01  9.643975E+01  3.034088E+01  2.330257E+01  3.786081E+01  2.090266E+01  5.273271E+01  5.180004E+01  3.761852E+01  4.508534E+01  8.888123E+01  9.408809E+01  6.379221E+01  
34    -9.458798E-01  7.440853E-02  5.357651E-01  3.915727E+00  2.580889E+00  2.613808E+00  1.062580E+01  3.693023E+02  3.720307E-01  5.461902E-01  6.577559E-01  2.246300E+02  7.741355E+02  7.170096E+02  2.309641E+00  1.772546E+00  4.088203E+00  5.583718E-01  4.173490E+00  5.713908E+02  3.229265E+02  5.853264E+02  4.680227E-01  1.447092E+00  7.174265E-02  6.964860E-02  1.230995E+00  7.455549E-01  4.036271E+00  7.509278E-01  5.348076E-01  7.476751E+01  4.290878E+01  4.254583E+01  9.643975E+01  1.839766E+01  4.179812E+01  3.786081E+01  2.090266E+01  1.797031E+01  5.002977E+01  4.113389E+01  4.384775E+01  8.659208E+01  7.326068E+01  1.518534E+01  
35    -8.161663E-01  6.541511E-02  5.357651E-01  4.453967E+00  2.876927E+00  1.956134E+00  6.803557E+00  3.931462E+02  2.603947E-01  5.461902E-01  6.577559E-01  2.569720E+02  9.400652E+02  7.623196E+02  8.008910E-01  1.126352E+00  4.088203E+00  -7.504577E-01  3.435003E+00  5.713908E+02  1.145665E+02  8.096626E+02  1.524485E-01  1.447092E+00  2.486172E-02  1.492866E-02  1.339934E+00  7.455549E-01  4.036271E+00  5.612917E-01  5.348076E-01  4.440906E+01  4.290878E+01  3.406310E+01  9.643975E+01  4.899119E+01  4.275154E+01  3.786081E+01  2.090266E+01  1.579707E+01  8.641044E+01  4.163280E+01  1.542636E+01  8.888123E+01  5.688761E+01  3.706631E+01  
36    -1.048349E+00  3.969539E-02  5.357651E-01  3.984858E+00  2.808110E+00  1.335553E+00  2.291366E+01  3.931462E+02  2.603947E-01  5.461902E-01  6.577559E-01  4.010421E+02  5.885264E+02  7.170096E+02  1.369352E+00  1.185933E+00  5.077701E+00  5.583718E-01  3.435003E+00  5.713908E+02  1.181552E+02  8.096626E+02  4.680227E-01  1.529141E+00  7.174265E-02  1.492866E-02  1.328241E+00  7.263042E-01  5.111295E+00  6.684482E-01  5.022684E-01  4.864680E+01  6.083936E+01  5.313772E+01  9.643975E+01  1.587257E+01  4.179812E+01  7.192047E+01  3.391353E+01  2.135914E+01  5.972232E+01  4.113389E+01  4.508534E+01  8.888123E+01  9.069579E+01  3.706631E+01  
37    -1.167682E+00  3.655512E-02  5.357651E-01  3.984858E+00  2.876927E+00  1.727841E+00  9.555541E+00  3.931462E+02  2.603947E-01  6.090709E-01  6.577559E-01  2.849906E+02  7.741355E+02  7.861021E+02  8.008910E-01  1.772546E+00  4.279130E+00  8.363289E-01  3.435003E+00  5.713908E+02  1.145665E+02  9.228564E+02  8.862913E-01  1.619934E+00  7.174265E-02  4.440441E-02  1.339934E+00  9.601882E-01  4.036271E+00  3.663224E-01  4.410685E-01  9.960736E+01  4.290878E+01  5.806049E+01  9.643975E+01  1.839766E+01  5.697586E+01  3.727602E+01  2.090266E+01  2.341227E+01  4.991886E+01  5.227768E+01  4.508534E+01  5.896237E+01  9.069579E+01  3.706631E+01  
38    -1.176227E+00  3.655512E-02  1.047722E+00  3.984858E+00  2.876927E+00  1.211376E+00  8.397234E+00  3.931462E+02  5.549789E-01  6.090709E-01  5.088820E-01  3.586968E+02  7.741355E+02  7.861021E+02  1.864196E+00  1.772546E+00  4.279130E+00  8.363289E-01  2.610597E+00  5.713908E+02  1.145665E+02  9.281413E+02  8.862913E-01  1.619934E+00  4.558418E-02  2.071027E-02  1.393431E+00  1.034262E+00  4.036271E+00  3.663224E-01  3.818418E-01  9.960736E+01  1.882914E+01  4.233291E+01  9.479034E+01  4.074686E+00  5.697586E+01  3.727602E+01  2.090266E+01  2.341227E+01  3.723142E+01  4.661341E+01  4.255115E+01  7.153036E+01  9.069579E+01  3.706631E+01  
39    -8.634651E-01  2.419417E-02  7.635617E-01  4.731588E+00  2.649805E+00  2.879231E+00  1.122874E+01  3.931462E+02  5.549789E-01  6.090709E-01  5.540012E-01  3.586968E+02  7.741355E+02  9.923565E+02  1.620625E+00  1.772546E+00  3.179636E+00  1.525158E+00  2.610597E+00  5.713908E+02  2.133488E+02  9.281413E+02  1.555641E+00  1.619934E+00  4.558418E-02  2.071027E-02  1.393431E+00  1.034262E+00  4.036271E+00  3.663224E-01  3.818418E-01  6.826874E+01  1.882914E+01  4.233291E+01  9.479034E+01  9.456786E-01  5.697586E+01  2.285898E+01  2.090266E+01  5.162354E+01  3.332496E+01  4.661341E+01  4.255115E+01  7.153036E+01  9.069579E+01  3.651269E+01  
40    -9.464738E-01  3.655512E-02  1.033694E+00  3.984858E+00  2.802746E+00  1.211376E+00  8.397234E+00  3.931462E+02  5.549789E-01  6.910861E-01  5.335503E-01  3.586968E+02  4.701804E+02  7.861021E+02  1.864196E+00  1.863877E+00  4.279130E+00  1.332065E+00  2.764357E+00  5.713908E+02  3.857716E+01  9.281413E+02  1.369404E+00  9.290110E-01  3.168861E-02  2.071027E-02  1.445871E+00  1.034262E+00  2.163656E+00  6.630084E-01  3.818418E-01  8.882442E+01  6.126913E+01  4.233291E+01  9.479034E+01  4.074686E+00  4.942030E+01  3.727602E+01  2.090266E+01  5.151819E-01  3.723142E+01  4.987849E+01  3.141248E+01  6.956885E+01  9.069579E+01  3.706631E+01  
41    -9.160259E-01  4.509543E-02  1.417009E+00  4.408238E+00  2.445290E+00  1.211376E+00  8.397234E+00  3.931462E+02  5.549789E-01  6.090709E-01  5.088820E-01  3.586968E+02  9.694942E+02  7.861021E+02  1.864196E+00  9.806980E-01  2.040304E+00  8.363289E-01  2.610597E+00  4.595625E+02  2.812525E+02  7.616464E+02  8.862913E-01  1.619934E+00  9.713421E-02  3.775321E-02  1.393431E+00  1.034262E+00  4.036271E+00  3.663224E-01  3.331582E-01  8.385882E+01  5.312635E+01  4.750326E+01  9.479034E+01  3.314635E-01  5.334053E+01  3.735058E+01  2.090266E+01  2.341227E+01  3.723142E+01  2.021686E+01  5.030547E+01  7.153036E+01  9.069579E+01  4.884150E+01  
42    -6.949191E-01  1.134859E-01  8.727593E-01  3.984858E+00  2.674908E+00  1.211376E+00  8.397234E+00  4.316600E+02  5.549789E-01  6.409605E-01  5.088820E-01  2.159149E+02  9.653221E+02  9.090614E+02  1.495716E+00  1.958939E+00  4.279130E+00  3.991442E-01  3.890247E+00  5.550594E+02  1.145665E+02  9.281413E+02  8.862913E-01  2.673227E+00  4.558418E-02  2.071027E-02  1.393431E+00  6.375217E-01  4.036271E+00  3.610526E-01  2.681598E-01  9.960736E+01  1.882914E+01  4.233291E+01  9.479034E+01  3.755064E+01  5.697586E+01  3.727602E+01  2.447280E+01  2.341227E+01  5.181152E+01  5.337726E+01  4.255115E+01  7.153036E+01  9.069579E+01  3.706631E+01  
43    -1.182166E+00  3.655512E-02  1.047722E+00  3.984858E+00  2.571325E+00  1.211376E+00  7.831912E+00  3.158854E+02  5.549789E-01  6.647177E-01  5.088820E-01  1.088006E+02  9.249130E+02  7.861021E+02  1.500602E+00  1.772546E+00  6.741442E+00  8.363289E-01  3.793752E+00  3.067000E+02  1.145665E+02  9.281413E+02  2.542737E+00  1.619934E+00  4.558418E-02  2.071027E-02  1.394427E+00  1.034262E+00  5.291385E+00  3.663224E-01  3.818418E-01  9.546424E+01  1.451738E+01  4.233291E+01  8.972237E+01  4.074686E+00  5.697586E+01  3.917757E+01  2.090266E+01  2.341227E+01  3.723142E+01  3.594240E+01  4.255115E+01  7.153036E+01  9.069579E+01  2.860377E+01  
44    -8.140746E-01  8.004884E-02  1.047722E+00  3.984858E+00  2.571325E+00  1.211376E+00  1.392565E+01  3.158854E+02  5.549789E-01  6.279689E-01  5.243224E-01  1.872184E+02  9.481123E+02  7.861021E+02  1.500602E+00  1.772546E+00  6.741442E+00  1.233538E+00  2.800958E+00  3.067000E+02  1.145665E+02  9.650137E+02  2.542737E+00  1.619934E+00  5.068029E-02  2.071027E-02  1.394427E+00  7.565571E-01  5.291385E+00  3.663224E-01  3.818418E-01  8.954411E+01  7.746671E+00  4.233291E+01  8.566703E+01  4.074686E+00  5.697586E+01  3.917757E+01  2.090266E+01  2.341227E+01  4.017642E+01  3.594240E+01  3.798341E+01  6.945856E+01  7.569600E+01  2.860377E+01  
45    -1.135028E+00  3.655512E-02  7.184133E-01  3.984858E+00  2.474328E+00  1.211376E+00  1.475070E+01  3.158854E+02  5.401949E-01  6.647177E-01  5.088820E-01  1.088006E+02  9.249130E+02  7.861021E+02  1.500602E+00  1.976768E+00  7.276435E+00  1.483498E-01  4.619512E+00  3.067000E+02  1.145665E+02  9.281413E+02  3.214185E+00  1.619934E+00  3.328929E-02  1.069106E-01  1.394427E+00  1.034262E+00  3.796653E+00  3.663224E-01  1.049565E-01  9.675949E+01  1.451738E+01  5.561826E+01  7.371446E+01  3.719010E+01  4.256914E+01  3.917757E+01  2.090266E+01  2.341227E+01  2.119104E+01  3.594240E+01  4.255115E+01  7.153036E+01  9.069579E+01  2.860377E+01  
46    -1.151318E+00  3.655512E-02  1.047722E+00  3.984858E+00  2.571325E+00  1.211376E+00  5.275194E+00  3.158854E+02  5.549789E-01  6.647177E-01  6.616947E-01  1.088006E+02  9.249130E+02  4.963983E+02  2.638235E+00  2.692575E+00  7.607281E+00  8.363289E-01  3.793752E+00  1.602511E+02  1.145665E+02  7.841937E+02  2.486159E+00  1.619934E+00  4.558418E-02  2.071027E-02  1.394427E+00  1.067955E+00  5.291385E+00  3.663224E-01  3.818418E-01  9.546424E+01  2.055418E+01  2.242282E+01  9.386840E+01  4.074686E+00  4.955905E+01  5.068193E+01  1.309314E+01  2.341227E+01  3.723142E+01  3.594240E+01  2.469370E+01  7.287923E+01  9.069579E+01  2.860377E+01  
47    -1.272446E+00  3.655512E-02  1.047722E+00  4.188596E+00  2.571325E+00  1.211376E+00  7.831912E+00  3.158854E+02  5.549789E-01  5.359628E-01  5.466634E-01  2.078107E+02  7.687750E+02  7.861021E+02  2.662636E+00  1.772546E+00  5.579659E+00  1.091210E+00  4.007801E+00  3.067000E+02  1.145665E+02  9.281413E+02  2.421666E+00  2.245263E+00  9.382589E-02  2.071027E-02  1.394427E+00  8.257048E-01  5.291385E+00  2.813454E-01  3.818418E-01  9.546424E+01  1.451738E+01  4.233291E+01  8.490255E+01  2.826319E+01  7.268143E+01  3.917757E+01  2.819517E+01  6.645474E+01  3.723142E+01  3.594240E+01  4.255115E+01  7.153036E+01  9.280202E+01  2.860377E+01  
48    -1.063575E+00  3.655512E-02  1.114993E+00  4.188596E+00  2.571325E+00  8.395914E-02  3.855183E+00  3.158854E+02  2.989049E-01  3.171400E-01  5.466634E-01  5.140370E+01  8.371132E+02  7.861021E+02  3.199683E+00  2.094772E+00  6.556222E+00  1.091210E+00  4.007801E+00  3.067000E+02  1.145665E+02  7.424011E+02  3.679202E+00  2.245263E+00  9.382589E-02  2.675099E-02  1.423905E+00  1.139797E+00  2.660063E+00  4.797243E-01  3.818418E-01  9.576979E+01  1.451738E+01  4.233291E+01  8.490255E+01  2.826319E+01  7.268143E+01  3.917757E+01  2.819517E+01  4.050050E+01  3.723142E+01  3.889319E+01  4.255115E+01  7.153036E+01  9.280202E+01  2.860377E+01  
49    -1.106437E+00  3.655512E-02  1.600397E+00  2.601537E+00  2.818448E+00  6.066835E-01  2.904874E+00  3.158854E+02  6.505688E-01  6.986853E-01  5.437144E-01  2.078107E+02  7.653260E+02  7.861021E+02  2.662636E+00  3.213850E-01  5.737234E+00  1.091210E+00  4.007801E+00  3.067000E+02  2.081754E+02  9.281413E+02  2.421666E+00  2.245263E+00  9.249882E-02  1.034780E-01  1.394427E+00  1.173154E+00  7.574534E+00  2.813454E-01  5.350233E-01  6.326671E+01  5.093937E+00  4.233291E+01  8.490255E+01  2.265824E+01  3.942121E+01  3.917757E+01  2.819517E+01  8.957425E+01  1.632657E+01  3.594240E+01  4.255115E+01  7.153036E+01  5.725794E+01  5.174836E+01  
50    -7.238713E-01  7.029111E-02  1.226128E+00  4.188596E+00  2.340700E+00  1.211376E+00  1.800150E+00  3.237107E+02  4.274555E-01  3.645932E-01  5.466634E-01  1.218520E+02  7.687750E+02  7.861021E+02  3.116630E+00  1.497681E+00  5.579659E+00  1.091210E+00  5.316584E+00  3.407135E+02  6.769986E+02  9.281413E+02  2.421666E+00  6.680552E-01  9.382589E-02  2.071027E-02  1.394427E+00  8.257048E-01  5.291385E+00  3.157190E-01  5.023818E-01  5.286117E+01  5.883834E+01  4.233291E+01  8.490255E+01  2.826319E+01  7.268143E+01  6.486533E+00  2.819517E+01  6.645474E+01  9.253689E+00  6.297109E+01  4.255115E+01  6.480150E+01  9.280202E+01  2.860377E+01  
51    -5.928207E-01  7.629546E-02  9.192017E-01  5.756690E+00  2.571325E+00  1.211376E+00  7.831912E+00  3.158854E+02  3.004475E-01  5.882985E-01  5.466634E-01  2.078107E+02  9.936597E+02  9.281998E+02  2.671378E+00  1.737470E+00  5.579659E+00  7.175227E-02  3.634052E+00  3.067000E+02  1.145665E+02  9.281413E+02  2.421666E+00  2.245263E+00  9.382589E-02  7.347967E-02  1.394427E+00  7.569587E-01  5.382644E+00  2.813454E-01  3.818418E-01  7.762769E+01  4.623208E+00  4.233291E+01  8.490255E+01  2.826319E+01  7.210593E+01  4.741168E+01  2.819517E+01  6.645474E+01  3.723142E+01  3.594240E+01  4.255115E+01  9.500675E+01  9.144674E+01  2.860377E+01  
52    -1.048316E+00  5.867923E-02  1.047722E+00  5.769102E+00  2.571325E+00  1.211376E+00  7.831912E+00  3.158854E+02  5.549789E-01  5.359628E-01  6.150518E-01  2.241326E+02  8.204025E+02  7.861021E+02  2.189511E+00  1.772546E+00  5.579659E+00  9.717213E-01  3.377640E+00  4.053199E+02  1.145665E+02  8.517624E+02  2.707891E+00  2.245263E+00  9.382589E-02  2.071027E-02  1.095010E+00  7.965769E-01  5.291385E+00  2.813454E-01  3.818418E-01  8.048907E+01  1.451738E+01  4.233291E+01  8.490255E+01  2.826319E+01  7.268143E+01  3.917757E+01  4.681510E+01  7.170861E+01  4.079402E+01  3.594240E+01  5.054796E+01  7.153036E+01  9.280202E+01  2.860377E+01  
53    -1.292594E+00  1.969040E-02  1.625575E+00  4.188596E+00  2.571325E+00  1.211376E+00  4.228870E+00  2.201643E+02  5.549789E-01  5.359628E-01  5.466634E-01  2.078107E+02  7.687750E+02  9.103869E+02  2.265210E+00  1.720510E+00  7.337107E+00  6.049452E-01  4.007801E+00  2.937160E+02  1.901838E+02  9.091124E+02  1.699319E+00  2.245263E+00  9.382589E-02  2.071027E-02  1.309076E+00  1.029254E+00  5.762500E+00  2.004076E-01  3.818418E-01  8.948554E+01  1.451738E+01  5.303405E+01  8.490255E+01  2.826319E+01  7.268143E+01  4.246218E+01  5.373026E+01  3.931441E+01  5.675703E+01  4.179637E+01  3.981629E+01  7.153036E+01  4.398440E+01  4.922008E+01  
54    -1.349228E+00  1.969040E-02  1.541587E+00  4.188596E+00  2.571325E+00  1.211376E+00  1.740624E+00  4.463928E+02  4.071762E-01  4.994125E-01  5.466634E-01  2.078107E+02  6.330796E+02  9.103869E+02  2.265210E+00  1.720510E+00  6.948900E+00  6.049452E-01  2.730186E+00  4.254355E+02  1.901838E+02  9.091124E+02  1.393629E+00  2.245263E+00  9.382589E-02  2.637262E-02  1.309076E+00  1.029254E+00  9.044006E+00  2.452958E-01  3.818418E-01  7.287839E+01  2.772761E+01  3.137207E+01  8.490255E+01  5.056922E+00  7.268143E+01  1.975354E+01  5.373026E+01  3.931441E+01  5.845675E+01  4.179637E+01  3.981629E+01  7.153036E+01  4.398440E+01  3.160325E+01  
55    -4.696174E-01  1.040953E-02  1.551948E+00  4.188596E+00  2.607359E+00  1.211376E+00  4.231937E+00  4.463928E+02  4.359576E-01  4.994125E-01  6.351933E-01  1.117664E+02  5.864611E+02  9.103869E+02  2.265210E+00  1.720510E+00  6.948900E+00  6.049452E-01  2.730186E+00  1.275400E+02  2.605082E+02  7.016178E+02  1.266547E+00  2.513452E+00  7.809176E-02  1.048118E-02  1.242528E+00  1.029254E+00  7.257295E+00  2.452958E-01  4.931118E-01  4.841420E+01  3.234679E+01  3.815956E+01  8.981466E+01  2.018834E-01  7.268143E+01  1.975354E+01  3.570503E+01  3.956352E+01  5.845675E+01  4.179637E+01  3.981629E+01  7.153036E+01  3.325299E+01  1.932959E+01  
56    -1.331780E+00  1.969040E-02  1.487597E+00  4.188596E+00  2.633278E+00  4.299213E-01  1.923396E+00  2.846109E+02  4.071762E-01  5.062830E-01  5.466634E-01  3.794517E+02  4.013121E+02  8.574717E+02  1.878188E+00  1.835276E+00  6.948900E+00  6.049452E-01  2.730186E+00  4.254355E+02  1.901838E+02  9.091124E+02  1.921941E+00  2.718707E+00  9.382589E-02  2.637262E-02  1.084272E+00  1.029254E+00  9.044006E+00  2.452958E-01  3.818418E-01  8.601514E+01  9.739659E+00  4.827929E+01  8.490255E+01  5.056922E+00  7.268143E+01  1.975354E+01  5.373026E+01  3.931441E+01  5.845675E+01  4.179637E+01  3.981629E+01  7.438025E+01  7.953276E+01  3.160325E+01  
57    -1.288906E+00  2.437482E-02  1.656385E+00  1.481628E+00  2.379360E+00  1.211376E+00  1.740624E+00  4.272744E+02  4.071762E-01  4.569683E-01  6.454740E-01  1.908625E+02  6.330796E+02  9.103869E+02  2.265210E+00  1.720510E+00  7.017165E+00  6.049452E-01  2.515175E+00  5.886914E+02  1.901838E+02  9.091124E+02  1.519974E+00  1.165878E+00  9.382589E-02  1.590220E-02  1.309076E+00  1.029254E+00  7.903230E+00  1.573299E-01  4.985791E-01  9.679599E+01  7.226799E+00  2.926406E+01  6.382813E+01  5.056922E+00  7.268143E+01  1.975354E+01  5.373026E+01  3.931441E+01  5.845675E+01  4.758918E+01  3.981629E+01  7.153036E+01  4.398440E+01  3.160325E+01  
58    -1.353285E+00  1.969040E-02  1.541587E+00  4.188596E+00  2.517759E+00  1.211376E+00  1.740624E+00  1.605981E+02  4.071762E-01  4.994125E-01  6.485140E-01  2.078107E+02  6.821628E+02  9.391045E+02  2.265210E+00  1.720510E+00  6.948900E+00  6.049452E-01  2.730186E+00  4.203350E+02  1.901838E+02  9.610617E+02  1.471572E+00  3.089053E+00  9.382589E-02  6.354745E-02  1.309076E+00  7.189990E-01  9.044006E+00  2.452958E-01  3.818418E-01  7.287839E+01  2.772761E+01  3.137207E+01  8.490255E+01  5.056922E+00  7.268143E+01  1.870922E+01  2.079764E+01  3.931441E+01  5.845675E+01  4.179637E+01  3.981629E+01  7.153036E+01  7.648299E+01  3.160325E+01  
59    -1.888227E-02  1.969040E-02  1.921761E+00  4.188596E+00  2.517759E+00  1.052587E+00  3.550790E+00  3.040069E+02  4.071762E-01  4.994125E-01  6.485140E-01  2.078107E+02  6.821628E+02  8.373497E+02  2.265210E+00  1.720510E+00  6.147178E+00  6.049452E-01  2.730186E+00  4.203350E+02  1.901838E+02  9.610617E+02  1.471572E+00  3.089053E+00  1.098985E-01  6.354745E-02  1.423436E+00  6.134302E-01  8.832481E+00  4.271167E-01  4.686164E-01  7.287839E+01  2.074400E+01  3.137207E+01  8.490255E+01  5.056922E+00  9.800109E+01  6.534353E+01  5.276097E-01  3.931441E+01  5.845675E+01  4.179637E+01  3.981629E+01  7.153036E+01  8.784412E+01  1.626321E+01  
60    -1.376645E+00  1.969040E-02  1.899844E+00  3.295898E+00  2.472791E+00  1.211376E+00  4.097805E+00  1.605981E+02  4.071762E-01  6.463235E-01  7.951511E-01  2.471021E+02  9.689846E+02  9.391045E+02  2.813377E+00  1.720510E+00  6.948900E+00  6.049452E-01  2.730186E+00  5.898991E+02  1.901838E+02  8.732610E+02  1.471572E+00  3.089053E+00  6.992681E-02  6.354745E-02  1.309076E+00  7.189990E-01  7.948763E+00  2.452958E-01  3.818418E-01  7.287839E+01  2.772761E+01  3.137207E+01  6.083457E+01  3.772123E+00  7.858026E+01  2.465665E+01  2.079764E+01  3.931441E+01  5.845675E+01  4.179637E+01  3.981629E+01  7.153036E+01  7.648299E+01  4.763296E+01  
61    -1.411749E+00  1.969040E-02  1.529684E+00  2.289284E+00  2.472791E+00  5.628266E-01  4.097805E+00  1.841886E+02  3.701852E-01  6.457435E-01  7.951511E-01  2.471021E+02  9.689846E+02  9.847763E+02  2.813377E+00  1.720510E+00  7.053480E+00  7.709678E-02  2.730186E+00  5.450369E+02  1.901838E+02  8.732610E+02  1.448139E+00  2.539323E+00  6.992681E-02  6.354745E-02  1.212474E+00  6.185980E-01  9.185002E+00  2.651726E-01  4.460590E-01  8.900083E+01  2.772761E+01  4.027366E+01  6.083457E+01  2.123624E+01  7.858026E+01  2.465665E+01  2.079764E+01  3.931441E+01  6.877432E+01  2.375469E+01  3.981629E+01  7.153036E+01  7.648299E+01  4.763296E+01  
62    -7.451432E-01  5.857838E-02  1.529684E+00  3.195300E+00  2.201789E+00  5.628266E-01  4.097805E+00  3.345312E+01  3.525882E-01  6.251999E-01  7.609543E-01  1.035415E+02  9.689846E+02  9.847763E+02  2.422605E+00  1.257895E+00  7.053480E+00  7.709678E-02  2.730186E+00  2.647157E+02  1.901838E+02  8.547379E+02  2.187527E+00  2.539323E+00  6.992681E-02  2.306188E-02  1.360950E+00  6.185980E-01  9.185002E+00  2.651726E-01  4.460590E-01  8.172945E+01  2.772761E+01  5.805629E+01  6.083457E+01  2.123624E+01  4.414966E+01  1.592412E+01  1.133443E+01  3.931441E+01  5.161710E+01  3.753036E+01  3.614931E+01  8.337256E+01  7.648299E+01  4.503736E+01  
63    -9.018509E-01  4.587531E-02  1.509862E+00  2.289284E+00  1.796715E+00  1.028820E+00  1.574614E+00  1.841886E+02  3.701852E-01  6.457435E-01  7.951511E-01  2.471021E+02  9.689846E+02  9.847763E+02  1.544081E+00  1.720510E+00  4.900680E+00  -1.066559E+00  1.910594E+00  4.713694E+02  1.355934E+02  9.752965E+02  2.613347E+00  1.293234E+00  6.992681E-02  6.354745E-02  1.212474E+00  6.185980E-01  8.183940E+00  1.982302E-01  4.460590E-01  7.476698E+01  2.772761E+01  4.027366E+01  6.090931E+01  1.159405E+01  9.941629E+01  3.451842E+01  2.079764E+01  7.160963E+01  6.877432E+01  2.375469E+01  3.204606E+01  7.153036E+01  8.616252E+01  4.763296E+01  
64    -1.435213E+00  1.969040E-02  1.253732E+00  2.289284E+00  2.472791E+00  5.628266E-01  4.097805E+00  1.293922E+02  3.701852E-01  6.961403E-01  7.737872E-01  8.574780E+01  9.463375E+02  4.781456E+02  1.494646E+00  1.378719E+00  7.053480E+00  7.709678E-02  2.730186E+00  5.964205E+01  7.096809E+01  8.732610E+02  2.910904E+00  4.196058E+00  6.992681E-02  6.007237E-02  1.212474E+00  6.185980E-01  8.120103E+00  2.651726E-01  4.460590E-01  8.692751E+01  2.431981E+01  4.027366E+01  6.083457E+01  2.123624E+01  7.858026E+01  3.967056E+01  2.711934E+01  3.931441E+01  6.978488E+01  2.375469E+01  3.981629E+01  7.153036E+01  7.648299E+01  4.901323E+01  
65    -1.443429E+00  1.969040E-02  1.253732E+00  1.053639E+00  2.472791E+00  1.490150E-01  4.097805E+00  1.293922E+02  1.942691E-01  6.201827E-01  7.699180E-01  3.395783E+02  9.463375E+02  4.781456E+02  1.494646E+00  4.439524E-01  6.579762E+00  5.168407E-01  2.730186E+00  5.964205E+01  7.096809E+01  9.531488E+02  2.910904E+00  3.888987E+00  3.649271E-02  1.535955E-01  1.135590E+00  6.185980E-01  8.120103E+00  3.093069E-01  4.460590E-01  9.302131E+01  2.734191E+01  4.027366E+01  5.207465E+01  5.354513E+00  9.820404E+01  5.089026E+01  1.246502E+01  3.931441E+01  9.088482E+01  3.450604E+01  7.563128E+01  7.148524E+01  7.648299E+01  4.164302E+00  
66    -1.439646E+00  1.969040E-02  1.253732E+00  1.638616E+00  2.472791E+00  2.150939E-01  4.097805E+00  4.101357E+02  1.942691E-01  6.323281E-01  7.699180E-01  3.395783E+02  6.711914E+02  4.781456E+02  1.494646E+00  4.439524E-01  6.579762E+00  5.168407E-01  2.730186E+00  1.311638E+02  7.096809E+01  9.981666E+02  2.066826E+00  3.888987E+00  4.081228E-02  1.535955E-01  1.135590E+00  5.498279E-01  8.120103E+00  3.093069E-01  4.981749E-01  8.802110E+01  2.734191E+01  4.027366E+01  5.207465E+01  5.354513E+00  8.890737E+01  5.089026E+01  1.246502E+01  3.931441E+01  9.088482E+01  3.450604E+01  7.563128E+01  5.208615E+01  7.648299E+01  4.164302E+00  
